tweet,date,city,user_location,id,link
"Estos son los convocados de Colombia para las eliminatorias en los próximos partidos @FCFSeleccionCol 
https://t.co/4ckjKxhv42",2020-11-09 16:55:06,colombia,"Montería, Colombia",1325844373150502918,https://twitter.com/i/web/status/1325844373150502918
"#Deportes Con Falcao ausente, Colombia definió convocatoria para fecha de Eliminatorias https://t.co/wmp8F48Fc8",2020-11-09 01:25:38,colombia,"Montería, Colombia",1325610465880313856,https://twitter.com/i/web/status/1325610465880313856
Selección Colombia: esta es la complicada lesión de Jhon Córdoba | Antena 2 https://t.co/YMThDpOgBd @FCFSeleccionCol,2020-11-08 22:53:49,colombia,sahagun cordoba colombia,1325572259105415180,https://twitter.com/i/web/status/1325572259105415180
Selección Colombia: esta es la complicada lesión de Jhon Córdoba | Antena 2 https://t.co/YMThDpOgBd,2020-11-08 22:53:22,colombia,sahagun cordoba colombia,1325572146819706887,https://twitter.com/i/web/status/1325572146819706887
"🚨¡ATENCIÓN!🚨

Lista de convocados por Carlos Queiroz para enfrentar a las selecciones de Uruguay y Ecuador por las eliminatorias al mundial de Qatar 2022.
Nuevamente llamado el delantero cordobés, @morelos2106 https://t.co/qQYDG4yZtT",2020-11-08 21:50:57,colombia,"Montería, Colombia",1325556440380141568,https://twitter.com/i/web/status/1325556440380141568
"🚨¡ATENCIÓN!🚨

Lista de convocados por Carlos Queiroz para enfrentar a las selecciones de Uruguay y Ecuador por las eliminatorias al mundial de Qatar 2022.
Nuevamente llamado el delantero cordobés, @morelos2106 https://t.co/qwMgD6q91E",2020-11-08 21:50:20,colombia,"Córdoba, Colombia",1325556283949322243,https://twitter.com/i/web/status/1325556283949322243
Atención. 🇨🇴 Colombia se prepara para enfrentar a Uruguay y Ecuador en las próximas dos fechas de las Eliminatorias. Esta es la nómina de convocados. https://t.co/bj6pxfEej2,2020-11-08 21:17:23,colombia,Montería,1325547994154995713,https://twitter.com/i/web/status/1325547994154995713
Nueva alarma en la Selección Colombia: Jhon Córdoba sale lesionado | Antena 2 https://t.co/X7KBhX6CYB  @FCFSeleccionCol @Carlos_Queiroz #Colombia,2020-11-07 18:15:23,colombia,sahagun cordoba colombia,1325139801209630721,https://twitter.com/i/web/status/1325139801209630721
Nueva alarma en la Selección Colombia: Jhon Córdoba sale lesionado | Antena 2 https://t.co/X7KBhX6CYB,2020-11-07 18:14:57,colombia,sahagun cordoba colombia,1325139695458676736,https://twitter.com/i/web/status/1325139695458676736
Eliminatorias: partidos de la selección Colombia aumentaron casos de Covid-19 https://t.co/ou5uBA3Jeo https://t.co/qSqWNaU8tw,2020-11-05 21:36:47,colombia,"Montería, Colombia",1324465709796204551,https://twitter.com/i/web/status/1324465709796204551
